period,Year,Month,India
1,100,5,2297
2,100,6,1965
3,100,7,1961
4,100,8,1918
5,100,9,2091
6,100,10,1961
7,100,11,2083
8,100,12,1590
9,101,1,1445
10,101,2,2030
11,101,3,2054
12,101,4,2046
13,101,5,1909
14,101,6,2128
15,101,7,1953
16,101,8,1769
17,101,9,2271
18,101,10,1969
19,101,11,2027
20,101,12,1650
21,102,1,1710
22,102,2,1513
23,102,3,2400
24,102,4,1987
25,102,5,1991
26,102,6,2333
27,102,7,1715
28,102,8,1730
29,102,9,2006
30,102,10,2329
31,102,11,1936
32,102,12,1668
33,103,1,1718
34,103,2,2144
35,103,3,2367
36,103,4,2307
37,103,5,2517
38,103,6,3415
39,103,7,2119
40,103,8,3277
41,103,9,3451
42,103,10,2199
43,103,11,2680
44,103,12,1974
45,104,1,1866
46,104,2,1903
47,104,3,3241
48,104,4,2788
49,104,5,2997
50,104,6,3352
51,104,7,2247
52,104,8,3022
53,104,9,3024
54,104,10,2556
55,104,11,2850
56,104,12,2352
57,105,1,2348
58,105,2,2543
59,105,3,3069
60,105,4,2794
61,105,5,3089
62,105,6,2659
63,105,7,2760
64,105,8,3133
65,105,9,2627
66,105,10,2907
67,105,11,3057
68,105,12,2564
69,106,1,2153
70,106,2,2983
71,106,3,3278
72,106,4,3083
73,106,5,3336
74,106,6,2576
75,106,7,2910
76,106,8,2873
77,106,9,3106
78,106,10,2715
79,106,11,3058
80,106,12,2891
81,107,1,2579
82,107,2,2556
83,107,3,3822
84,107,4,3465
85,107,5,3252
86,107,6,3242
87,107,7,3256
88,107,8,3039
89,107,9,3444
90,107,10,3356
91,107,11,3526
92,107,12,2848
93,108,1,2562
94,108,2,3608
95,108,3,3739
96,108,4,3051
