period,Year,Month,Japan
1,97,5,84643
2,97,6,86022
3,97,7,80201
4,97,8,84168
5,97,9,90716
6,97,10,95234
7,97,11,96327
8,97,12,89938
9,98,1,70119
10,98,2,99424
11,98,3,105350
12,98,4,79311
13,98,5,69022
14,98,6,61728
15,98,7,72655
16,98,8,80533
17,98,9,100173
18,98,10,87481
19,98,11,84765
20,98,12,90100
21,99,1,86214
22,99,2,73889
23,99,3,112231
24,99,4,79593
25,99,5,85750
26,99,6,82806
27,99,7,78442
28,99,8,91613
29,99,9,91782
30,99,10,90904
31,99,11,105534
32,99,12,101395
33,100,1,101193
34,100,2,106970
35,100,3,114352
36,100,4,86743
37,100,5,87984
38,100,6,91089
39,100,7,94009
40,100,8,117750
41,100,9,122908
42,100,10,112450
43,100,11,130538
44,100,12,128772
45,101,1,93578
46,101,2,133793
47,101,3,152227
48,101,4,110313
49,101,5,116228
50,101,6,108434
51,101,7,101333
52,101,8,130982
53,101,9,121459
54,101,10,117996
55,101,11,125948
56,101,12,120024
57,102,1,108872
58,102,2,103581
59,102,3,149824
60,102,4,102742
61,102,5,103804
62,102,6,91783
63,102,7,100183
64,102,8,128735
65,102,9,121895
66,102,10,128795
67,102,11,138359
68,102,12,142977
69,103,1,113301
70,103,2,136654
71,103,3,163458
72,103,4,116570
73,103,5,133438
74,103,6,119697
75,103,7,117564
76,103,8,148531
77,103,9,140574
78,103,10,141713
79,103,11,152171
80,103,12,151119
81,104,1,121510
82,104,2,104194
83,104,3,167074
84,104,4,111026
85,104,5,124464
86,104,6,118156
87,104,7,113133
88,104,8,143540
89,104,9,145835
90,104,10,149500
91,104,11,159431
92,104,12,169366
93,105,1,143078
94,105,2,132982
95,105,3,198744
96,105,4,129469
97,105,5,145428
98,105,6,130172
99,105,7,133795
100,105,8,187065
101,105,9,157828
102,105,10,167336
103,105,11,186045
104,105,12,183760
105,106,1,129403
106,106,2,148108
107,106,3,197824
108,106,4,126712
109,106,5,146179
110,106,6,141973
111,106,7,131238
112,106,8,172243
113,106,9,164392
114,106,10,160337
115,106,11,192988
116,106,12,187457
117,107,1,161912
118,107,2,124290
119,107,3,205930
120,107,4,127138
121,107,5,150928
122,107,6,134146
123,107,7,129363
124,107,8,187176
125,107,9,163103
126,107,10,181797
127,107,11,203270
128,107,12,200098
129,108,1,146184
130,108,2,144923
131,108,3,215809
132,108,4,166364
