period,Year,Month,Macao
1,99,5,2406
2,99,6,5294
3,99,7,3631
4,99,8,7012
5,99,9,6023
6,99,10,2959
7,99,11,2836
8,99,12,5728
9,100,1,1649
10,100,2,6366
11,100,3,2736
12,100,4,3515
13,100,5,2742
14,100,6,6805
15,100,7,4038
16,100,8,7164
17,100,9,5722
18,100,10,3566
19,100,11,3328
20,100,12,6280
21,101,1,3312
22,101,2,5844
23,101,3,3330
24,101,4,4966
25,101,5,3879
26,101,6,8403
27,101,7,5525
28,101,8,9780
29,101,9,6716
30,101,10,3456
31,101,11,4096
32,101,12,7395
33,102,1,2448
34,102,2,6975
35,102,3,5459
36,102,4,3765
37,102,5,5065
38,102,6,8973
39,102,7,6479
40,102,8,11152
41,102,9,7498
42,102,10,4635
43,102,11,4810
44,102,12,10859
45,103,1,3986
46,103,2,8092
47,103,3,4846
48,103,4,7730
49,103,5,6489
50,103,6,10514
51,103,7,9474
52,103,8,15503
53,103,9,8664
54,103,10,6148
55,103,11,5627
56,103,12,12658
57,104,1,4687
58,104,2,9443
59,104,3,7115
60,104,4,8819
61,104,5,7783
62,104,6,11585
63,104,7,12597
64,104,8,19562
65,104,9,10794
66,104,10,7896
67,104,11,6993
68,104,12,16794
69,105,1,5875
70,105,2,11525
71,105,3,10879
72,105,4,8043
73,105,5,8658
74,105,6,12687
75,105,7,15128
76,105,8,20574
77,105,9,11240
78,105,10,8867
79,105,11,9018
80,105,12,17788
81,106,1,7951
82,106,2,10532
83,106,3,8494
84,106,4,12933
85,106,5,8480
86,106,6,12736
87,106,7,17237
88,106,8,21141
89,106,9,12652
90,106,10,9388
91,106,11,10343
92,106,12,19411
93,107,1,7565
94,107,2,12161
95,107,3,11559
96,107,4,8805
97,107,5,9341
98,107,6,12857
99,107,7,15943
100,107,8,20507
101,107,9,11597
102,107,10,8527
103,107,11,10220
104,107,12,18036
105,108,1,7516
106,108,2,13090
107,108,3,9926
108,108,4,12869
