period,Year,Month,Singapore
1,100,5,22275
2,100,6,25590
3,100,7,18009
4,100,8,17046
5,100,9,19338
6,100,10,25132
7,100,11,38295
8,100,12,56511
9,101,1,15044
10,101,2,18202
11,101,3,30853
12,101,4,27468
13,101,5,25752
14,101,6,27377
15,101,7,17042
16,101,8,15117
17,101,9,18965
18,101,10,28557
19,101,11,42545
20,101,12,60331
21,102,1,20646
22,102,2,16931
23,102,3,34648
24,102,4,30453
25,102,5,29570
26,102,6,31981
27,102,7,19464
28,102,8,21430
29,102,9,25116
30,102,10,32088
31,102,11,42303
32,102,12,60103
33,103,1,20032
34,103,2,21293
35,103,3,34674
36,103,4,30630
37,103,5,30941
38,103,6,34808
39,103,7,20868
40,103,8,18154
41,103,9,23919
42,103,10,34510
43,103,11,45854
44,103,12,60552
45,104,1,23942
46,104,2,16558
47,104,3,35562
48,104,4,32384
49,104,5,30986
50,104,6,33712
51,104,7,21679
52,104,8,22286
53,104,9,26763
54,104,10,32529
55,104,11,49765
56,104,12,66871
57,105,1,24334
58,105,2,21304
59,105,3,38377
60,105,4,31510
61,105,5,29493
62,105,6,34467
63,105,7,21393
64,105,8,19165
65,105,9,27245
66,105,10,35141
67,105,11,52622
68,105,12,72216
69,106,1,25037
70,106,2,25884
71,106,3,42052
72,106,4,34247
73,106,5,31327
74,106,6,36895
75,106,7,22423
76,106,8,22502
77,106,9,26365
78,106,10,35959
79,106,11,52608
80,106,12,70278
81,107,1,31314
82,107,2,19603
83,107,3,42920
84,107,4,35230
85,107,5,34403
86,107,6,33987
87,107,7,23082
88,107,8,22618
89,107,9,27547
90,107,10,36901
91,107,11,53570
92,107,12,66047
93,108,1,28937
94,108,2,25749
95,108,3,45117
96,108,4,39008
